titles,tokens,entities,mentions,relations_total,relations_normal,relations_typing,isolated_entities,isolated_entities_typing,stage_0,stage_1,stage_2,stage_3,stage_4,stage_5,stage_6,total_runtime
Title: MEL: Metadata Extractor & Loader (by g),1165.0,182.0,302.0,514.0,293.0,221.0,54.0,12.0,1.156330108642578e-06,10.537639439105988,9.771435427665711,2.7296626726786295,7.187909734249115,17.346162474155427,0.0027009248733520508,47.57551182905833
Title: Modeling Actuations in BCI-O: A Context-based Integration of SOSA and IoT-O (by g),3161.0,356.0,757.0,1345.0,558.0,787.0,97.0,32.0,2.1378199259440104e-06,22.98977912267049,19.286901406447093,7.299901088078816,8.608723549048106,25.711434149742125,0.003705481688181559,83.90044693549474
Title: Building An Open Source Linux Computing System On RISC-V (by g),3062.0,525.0,809.0,1524.0,572.0,952.0,153.0,44.0,2.8173128763834635e-06,21.460655987262726,21.545552599430085,6.725227896372477,7.1385574022928875,31.637742726008096,0.004422505696614583,88.51216193437577
Title: TNNT: The Named Entity Recognition Toolkit (by g),1486.0,241.0,405.0,876.0,375.0,501.0,78.0,27.0,1.2914339701334636e-06,11.20528911749522,10.653919160366058,3.0751028855641684,7.453258283933004,17.613616383075716,0.0022946794827779136,50.00348180135091
Title: A Pipeline For Analysing Grant Applications (by g),5183.0,712.0,1428.0,2088.0,761.0,1327.0,209.0,46.0,3.524621327718099e-06,43.37665649652481,53.72790366411209,12.320805867513021,10.142776497205098,52.32871017853419,0.006590731938680013,171.90344696044923
Mean,2811.4,403.2,740.2,1269.4,511.8,757.6,118.2,32.2,2.185503641764323e-06,21.91400403261185,22.99714245160421,6.430140082041421,8.106245093345642,28.927533182303108,0.003942864735921224,88.37900989214579
STD,2811.4,403.2,740.2,1269.4,511.8,757.6,118.2,32.2,2.185503641764323e-06,21.91400403261185,22.99714245160421,6.430140082041421,8.106245093345642,28.927533182303108,0.003942864735921224,88.37900989214579
